number,title,url,current_labels,proposed_labels,current_milestone,proposed_milestone,lane,proposed_status,proposed_action,confidence,evidence_summary,canonical_issue_or_pr,updated_at
180,Create Troubleshooting & FAQ vignette,https://github.com/revgizmo/engager/issues/180,docs;vignettes;faq;priority: medium,documentation;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; vignettes; faq; priority: medium | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:16:19Z
181,Organize pkgdown reference groups and navbar,https://github.com/revgizmo/engager/issues/181,docs;pkgdown;priority: medium,documentation;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; pkgdown; priority: medium | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:16:19Z
182,Document input validation and error behavior for key functions,https://github.com/revgizmo/engager/issues/182,docs;reference;priority: high,documentation;priority:high;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; reference; priority: high | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T22:36:28Z
183,Clarify privacy defaults in README and link FERPA vignette,https://github.com/revgizmo/engager/issues/183,privacy;docs;readme;priority: high,privacy;documentation;priority:high;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: privacy; docs; readme; priority: high | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:16:31Z
184,Add README to inst/extdata describing sample files,https://github.com/revgizmo/engager/issues/184,docs,documentation;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T22:28:35Z
185,Add Performance tips article (vignette),https://github.com/revgizmo/engager/issues/185,docs;vignettes;performance;priority: medium,documentation;performance;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; vignettes; performance; priority: medium | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T22:36:59Z
186,Add NEWS.md and wire it into pkgdown site,https://github.com/revgizmo/engager/issues/186,docs;pkgdown;priority: medium,documentation;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; pkgdown; priority: medium | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:16:52Z
188,Specify minimum R version in DESCRIPTION,https://github.com/revgizmo/engager/issues/188,docs;priority: high,documentation;priority:high;area:infrastructure;status:superseded-candidate,"",Backlog archive,cran,status:superseded-candidate,supersede-candidate,medium,Current labels: docs; priority: high | Register lane: cran | Proposed action: supersede-candidate | Proposed status: status:superseded-candidate | Proposed milestone: Backlog archive | Canonical reference: #557 | Human-only closure/supersession candidate pending review,#557,2025-08-13T22:36:32Z
189,Link `inst/new_analysis_template.Rmd` from README,https://github.com/revgizmo/engager/issues/189,docs;readme;priority: high,documentation;priority:high;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; readme; priority: high | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T22:36:34Z
193,Document dataset: section_names_lookup,https://github.com/revgizmo/engager/issues/193,docs;reference;data;priority: medium,documentation;data;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; reference; data; priority: medium | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T22:37:02Z
194,Update pkgdown reference groups for Name Matching & Privacy,https://github.com/revgizmo/engager/issues/194,privacy;docs;pkgdown;priority: medium,privacy;documentation;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: privacy; docs; pkgdown; priority: medium | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T22:37:04Z
195,Document real-world testing scripts and workflow,https://github.com/revgizmo/engager/issues/195,docs;priority: medium,documentation;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; priority: medium | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:16:22Z
196,Enforce strict input validation in transcript functions,https://github.com/revgizmo/engager/issues/196,docs;reference;priority: high,documentation;priority:high;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; reference; priority: high | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T22:36:37Z
197,Auto-detect unsupported Zoom file types with guidance,https://github.com/revgizmo/engager/issues/197,privacy;docs;reference;priority: high,privacy;documentation;priority:high;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: privacy; docs; reference; priority: high | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T22:36:39Z
198,Add a one-call orchestration helper,https://github.com/revgizmo/engager/issues/198,docs;reference;priority: high,documentation;priority:high;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; reference; priority: high | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T22:36:40Z
199,Documentation overhaul (v0.2),https://github.com/revgizmo/engager/issues/199,docs;tracking,documentation;tracking;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs; tracking | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:16:11Z
200,Spin-off projects: roadmap and tracking,https://github.com/revgizmo/engager/issues/200,enhancement;priority: high,enhancement;priority:high;status:needs-triage,"",Backlog archive,archive,status:needs-triage,comment,low,Current labels: enhancement; priority: high | Register lane: archive | Proposed action: comment | Proposed status: status:needs-triage | Proposed milestone: Backlog archive,"",2025-08-13T23:12:50Z
201,"Spin-offs: Testing & QA Kits (Real-World Testing, Shell QA, Segfault/Memcheck)",https://github.com/revgizmo/engager/issues/201,enhancement;area:testing;priority: high,enhancement;area:testing;priority:high;status:ready,"",0.1.x stabilization,testing,status:ready,relabel,medium,Current labels: enhancement; area:testing; priority: high | Register lane: testing | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.1.x stabilization,"",2025-08-13T23:12:56Z
202,Spin-offs: Dev Workflow & Context Automation,https://github.com/revgizmo/engager/issues/202,enhancement;area:documentation;area:infrastructure;priority: high,enhancement;area:documentation;area:infrastructure;priority:high;ci;status:ready,"",0.1.x stabilization,infrastructure,status:ready,relabel,medium,Current labels: enhancement; area:documentation; area:infrastructure; priority: high | Register lane: infrastructure | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.1.x stabilization,"",2025-08-13T23:13:02Z
203,"Spin-offs: Privacy & Compliance Kits (Privacy Core, FERPA Toolkit)",https://github.com/revgizmo/engager/issues/203,enhancement;area:core;area:documentation;priority: medium,enhancement;area:core;area:documentation;priority:medium;privacy;status:ready,"",0.1.x stabilization,privacy,status:ready,relabel,medium,Current labels: enhancement; area:core; area:documentation; priority: medium | Register lane: privacy | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.1.x stabilization,"",2025-08-13T23:13:07Z
204,"Spin-offs: Data Processing Modules (VTT parser, Consolidation utils, Names, Pipeline)",https://github.com/revgizmo/engager/issues/204,enhancement;area:core;priority: medium,enhancement;area:core;priority:medium;status:ready,"",0.2.0 product,core,status:ready,relabel,medium,Current labels: enhancement; area:core; priority: medium | Register lane: core | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.2.0 product,"",2025-08-13T23:13:14Z
205,"Spin-offs: CI Templates for R (R CMD check, pkgdown Pages)",https://github.com/revgizmo/engager/issues/205,enhancement;area:documentation;area:infrastructure;ci;priority: medium,enhancement;area:documentation;area:infrastructure;ci;priority:medium;documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: enhancement; area:documentation; area:infrastructure; ci; priority: medium | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-13T23:13:26Z
206,docs: Add deprecation badges and removal timeline for legacy functions,https://github.com/revgizmo/engager/issues/206,docs,documentation;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-14T02:06:08Z
207,refactor: Curate exports and internalize non-user helpers,https://github.com/revgizmo/engager/issues/207,docs,documentation;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-14T02:06:17Z
208,docs: Add Schemas/Provenance section to docs,https://github.com/revgizmo/engager/issues/208,docs,documentation;priority:medium;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: docs | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-14T02:06:26Z
209,ci: Tune and enforce benchmark budgets,https://github.com/revgizmo/engager/issues/209,ci,ci;priority:medium;performance;area:core;status:ready,"",0.2.0 product,performance,status:ready,relabel,medium,Current labels: ci | Register lane: performance | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.2.0 product,"",2025-08-14T02:06:41Z
210,test: Add edge/error-path tests for analyze_transcripts and FERPA levels,https://github.com/revgizmo/engager/issues/210,coverage,coverage;priority:medium;privacy;area:core;status:ready,"",0.1.x stabilization,privacy,status:ready,relabel,medium,Current labels: coverage | Register lane: privacy | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.1.x stabilization,"",2025-08-14T02:06:51Z
211,build: Add .Rbuildignore entries for top-level non-standard dirs,https://github.com/revgizmo/engager/issues/211,docs,documentation;priority:medium;area:infrastructure;status:superseded-candidate,"",Backlog archive,cran,status:superseded-candidate,supersede-candidate,medium,Current labels: docs | Register lane: cran | Proposed action: supersede-candidate | Proposed status: status:superseded-candidate | Proposed milestone: Backlog archive | Canonical reference: #557 | Human-only closure/supersession candidate pending review,#557,2025-08-18T17:43:17Z
215,test: Transition to test-driven design and ensure full functionality coverage,https://github.com/revgizmo/engager/issues/215,enhancement;CRAN:submission;area:testing;priority: high,enhancement;CRAN:submission;priority:high;area:testing;status:superseded-candidate,"",Backlog archive,testing,status:superseded-candidate,supersede-candidate,medium,Current labels: enhancement; CRAN:submission; area:testing; priority: high | Register lane: testing | Proposed action: supersede-candidate | Proposed status: status:superseded-candidate | Proposed milestone: Backlog archive | Canonical reference: #557 | Human-only closure/supersession candidate pending review,#557,2025-08-14T06:32:57Z
220,fix: Wrap diagnostic output in test environment checks for CRAN compliance,https://github.com/revgizmo/engager/issues/220,priority:high;CRAN:submission;area:testing,priority:high;CRAN:submission;area:testing;bug;area:infrastructure;status:superseded-candidate,"",Backlog archive,cran,status:superseded-candidate,supersede-candidate,medium,Current labels: priority:high; CRAN:submission; area:testing | Register lane: cran | Proposed action: supersede-candidate | Proposed status: status:superseded-candidate | Proposed milestone: Backlog archive | Canonical reference: #557 | Human-only closure/supersession candidate pending review,#557,2025-08-18T17:42:55Z
228,test: Improve test coverage for privacy_audit.R,https://github.com/revgizmo/engager/issues/228,priority:medium;CRAN:submission,priority:medium;CRAN:submission;privacy;area:testing;status:superseded-candidate,"",Backlog archive,testing,status:superseded-candidate,supersede-candidate,medium,Current labels: priority:medium; CRAN:submission | Register lane: testing | Proposed action: supersede-candidate | Proposed status: status:superseded-candidate | Proposed milestone: Backlog archive | Canonical reference: #557 | Human-only closure/supersession candidate pending review,#557,2025-08-16T02:41:48Z
229,test: Improve test coverage for safe_name_matching_workflow.R,https://github.com/revgizmo/engager/issues/229,priority:medium;CRAN:submission,priority:medium;CRAN:submission;ci;area:testing;status:superseded-candidate,"",Backlog archive,testing,status:superseded-candidate,supersede-candidate,medium,Current labels: priority:medium; CRAN:submission | Register lane: testing | Proposed action: supersede-candidate | Proposed status: status:superseded-candidate | Proposed milestone: Backlog archive | Canonical reference: #557 | Human-only closure/supersession candidate pending review,#557,2025-08-16T02:41:54Z
230,docs: Create CRAN submission preparation guide,https://github.com/revgizmo/engager/issues/230,documentation;priority:high;CRAN:submission,documentation;priority:high;CRAN:submission;area:infrastructure;status:superseded-candidate,"",Backlog archive,cran,status:superseded-candidate,supersede-candidate,medium,Current labels: documentation; priority:high; CRAN:submission | Register lane: cran | Proposed action: supersede-candidate | Proposed status: status:superseded-candidate | Proposed milestone: Backlog archive | Canonical reference: #557 | Human-only closure/supersession candidate pending review,#557,2025-08-18T17:43:37Z
240,fix: Context script coverage display discrepancy and enhancements,https://github.com/revgizmo/engager/issues/240,bug;enhancement,bug;enhancement;priority:medium;area:infrastructure;status:ready,"",0.1.x stabilization,infrastructure,status:ready,relabel,medium,Current labels: bug; enhancement | Register lane: infrastructure | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.1.x stabilization,"",2025-08-16T16:16:21Z
242,Epic: Comprehensive Docker Development Environment Optimization,https://github.com/revgizmo/engager/issues/242,enhancement;priority:high;area:infrastructure;epic,enhancement;priority:high;area:infrastructure;epic;status:ready,"",0.1.x stabilization,infrastructure,status:ready,relabel,medium,Current labels: enhancement; priority:high; area:infrastructure; epic | Register lane: infrastructure | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.1.x stabilization,"",2025-08-17T00:53:27Z
244,Phase 2: Docker Performance Optimization,https://github.com/revgizmo/engager/issues/244,enhancement;priority:high;area:infrastructure;performance,enhancement;priority:high;area:infrastructure;performance;area:core;status:ready,"",0.2.0 product,performance,status:ready,relabel,medium,Current labels: enhancement; priority:high; area:infrastructure; performance | Register lane: performance | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.2.0 product,"",2025-08-18T19:52:08Z
245,Phase 3: Perfect Development Experience,https://github.com/revgizmo/engager/issues/245,documentation;enhancement;priority:medium;area:infrastructure,documentation;enhancement;priority:medium;area:infrastructure;area:documentation;status:ready,"",Documentation refresh,docs,status:ready,relabel,medium,Current labels: documentation; enhancement; priority:medium; area:infrastructure | Register lane: docs | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: Documentation refresh,"",2025-08-16T21:06:22Z
246,Phase 4: CI/CD Integration & Quality Assurance,https://github.com/revgizmo/engager/issues/246,enhancement;priority:medium;area:testing;area:infrastructure,enhancement;priority:medium;area:testing;area:infrastructure;ci;status:ready,"",0.1.x stabilization,testing,status:ready,relabel,medium,Current labels: enhancement; priority:medium; area:testing; area:infrastructure | Register lane: testing | Proposed action: relabel | Proposed status: status:ready | Proposed milestone: 0.1.x stabilization,"",2025-08-16T21:14:31Z
268,Docker Development Environment Isolation,https://github.com/revgizmo/engager/issues/268,"",priority:medium;enhancement;area:infrastructure;status:needs-triage,"",0.1.x stabilization,infrastructure,status:needs-triage,comment,low,No current labels | Register lane: infrastructure | Proposed action: comment | Proposed status: status:needs-triage | Proposed milestone: 0.1.x stabilization,"",2025-08-18T19:51:35Z
269,Test Background Agent Functionality Post-Docker Removal,https://github.com/revgizmo/engager/issues/269,"",priority:medium;enhancement;area:testing;status:needs-triage,"",0.1.x stabilization,testing,status:needs-triage,comment,low,No current labels | Register lane: testing | Proposed action: comment | Proposed status: status:needs-triage | Proposed milestone: 0.1.x stabilization,"",2025-08-18T19:51:47Z
273,Investigate background agent Docker error with default condition,https://github.com/revgizmo/engager/issues/273,"",priority:medium;enhancement;area:infrastructure;status:needs-triage,"",0.1.x stabilization,infrastructure,status:needs-triage,comment,low,No current labels | Register lane: infrastructure | Proposed action: comment | Proposed status: status:needs-triage | Proposed milestone: 0.1.x stabilization,"",2025-08-18T22:57:26Z
275,Tidy diagnostic output and newline warnings before PR,https://github.com/revgizmo/engager/issues/275,"",priority:medium;enhancement;area:testing;status:needs-triage,"",0.1.x stabilization,testing,status:needs-triage,comment,low,No current labels | Register lane: testing | Proposed action: comment | Proposed status: status:needs-triage | Proposed milestone: 0.1.x stabilization,"",2025-08-19T00:54:02Z
277,Tracking: Clear R CMD check NOTES and quiet diagnostics,https://github.com/revgizmo/engager/issues/277,documentation,documentation;priority:medium;area:infrastructure;status:superseded-candidate,"",Backlog archive,cran,status:superseded-candidate,supersede-candidate,medium,Current labels: documentation | Register lane: cran | Proposed action: supersede-candidate | Proposed status: status:superseded-candidate | Proposed milestone: Backlog archive | Canonical reference: #557 | Human-only closure/supersession candidate pending review,#557,2025-09-09T03:18:36Z
